Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
This Is What You Came For,This Is What You Came For,Calvin Harris,4/29/2016,GBARL1600460,373,79.8,"1,746,790,923","204,049","117,171,040",79.0,"3,084,719,501","13,411,706","2,176,881","17,649,503","137,718,139","276,177,209",356.0,"119,588",81,173.0,"1,609,545",86.0,"595,393,905","143,591","1,056,564","13,444,054",,0
China,China,Anuel AA,7/19/2019,QM6P41952433,376,79.5,"1,178,076,574","137,559","58,323,638",68.0,"2,324,673,715","9,851,235","386,741","15,484,682","146,747,450","300,548,195",182.0,"36,105",20,75.0,"1,424,896",63.0,"97,138,846","31,755","2,130,789","5,865,011",,0
"Let It Go - From ""Frozen""/Soundtrack Version",Frozen (Original Motion Picture Soundtrack / Deluxe Edition),Idina Menzel,1/1/2013,USWD11366376,374,79.5,"759,374,819","64,239","27,371,339",69.0,"4,168,791,151","11,589,558","837,092","81,957,005","966,469,545","93,296,828",151.0,"5,863",,31.0,"159,525",45.0,"273,693,240","3,302,248",,"2,515,774",,0
Moonlight,?,XXXTENTACION,3/16/2018,USUG11800209,375,79.5,"1,885,431,727","241,112","41,330,643",77.0,"1,607,650,475","24,201,486","275,009","36,219,008","300,772,720","160,456,727",66.0,"16,859",2,41.0,"344,324",15.0,"138,948,996","311,466","80,552,486","3,644,968",,1
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,USUM72404993,377,79.4,"250,080,413","2,711","4,839,848",,,,,,,,137.0,"19,724",,6.0,"44,739",19.0,,,,,,0
Smart,EASY,LE SSERAFIM,2/19/2024,USA2P2402103,379,79.3,"159,256,689","6,829","20,291,074",74.0,"130,698,280","1,872,592","170,200","234,770,546","2,059,824,051","495,137,217",13.0,915,16,3.0,"20,293",,"264,369",676,"556,351","234,077",,0
That's What I Like,24K Magic,Bruno Mars,11/17/2016,USAT21602948,378,79.3,"2,075,459,887","209,632","84,707,015",80.0,"2,696,139,998","17,077,084","604,526","100,008,149","704,916,578","408,244,698",142.0,"57,222",316,270.0,"391,125",44.0,"666,715,599","500,761",,,,0
Commando,Commando - Single,Mavokali,9/28/2022,QZTVM2210964,380,78.6,"21,667,023","9,105","1,266,295",,"48,246,851","435,329","7,444,200","251,304,348","5,361,829,317",,2.0,"1,544",,2.0,"33,249",,"5,089",,,"1,561,153",,0
The Business,The Business,Tiï¿½ï¿,9/16/2020,CYA112000624,381,78.3,"1,191,635,193","255,697","78,272,032",70.0,"539,885,283","4,027,102","777,092","73,955,191","1,435,552,956","462,516,169",362.0,"277,419",484,216.0,"3,941,324",41.0,"108,360,279","53,852","140,470","9,642,311",,0
Ride It,Ride It,Regard,7/26/2019,GBCEN1900047,382,78.2,"1,349,427,877","220,002","106,549,747",76.0,"564,022,753","3,884,141","3,646,762","362,781,709","5,118,900,832","49,285,616",357.0,"386,774",894,273.0,"2,339,277",65.0,"182,505,519","51,884","19,580,257","16,283,609",,0
Mwaki,SURRENDER,Zerb,9/27/2023,NLRD52339318,383,77.9,"121,234,000","36,468","76,765,385",42.0,"78,160,610","806,269","118,600","20,204,903","395,342,206","303,381,336",48.0,"90,542",163,51.0,"19,833,933",34.0,"1,553,861",760,"1,832,441","4,890,793",,0
BICHOTA,BICHOTA,KAROL G,10/23/2020,USUM72019324,385,77.8,"868,091,483","86,379","31,261,057",64.0,"1,591,945,481","7,916,193","1,586,770","101,362,709","1,153,849,236","172,943,996",133.0,"36,028",239,38.0,"1,594,172",33.0,"70,065,986","48,232",,"1,740,278",,1
Renklensin,Renklensin - Single,Reynmen,4/19/2024,FRX282477628,384,77.8,"54,940,563","2,630","6,589,111",75.0,"77,507,185","547,375",,,,"11,444,478",9.0,"3,016",,5.0,"1,585,603",,,,,"197,952",,0
Bad idea,Missing,Kurochuu,6/9/2024,CA5KR2466578,387,77.6,"86,203,995",2,"2,190",1.0,,,,,,,,,,,,,,,,,,0
writhe,writhe,daine,2/21/2023,AUWA02201495,386,77.6,,163,"6,893",15.0,"915,870,602","2,980,959",12,"8,960","91,112","26,629,501",1.0,20,,1.0,"14,566",,81,,,,,0
The Hills,The Hills,The Weeknd,5/27/2015,USUG11500737,388,77.5,"2,306,740,926","333,310","91,689,799",80.0,"2,404,495,013","15,819,333","1,064,662","140,355,034","1,174,129,136","297,672,687",178.0,"9,129",131,67.0,"891,934",30.0,"665,990,282","568,806","22,542,449","17,199,384",,1
Seven (feat. Latto) (Clean Ver.),Seven (feat. Latto),Jung Kook,7/14/2023,USA2P2330092,389,77.4,"1,673,557,134","15,863","14,237,841",72.0,,,"1,500,000","104,700,560","1,092,175,292",,57.0,"112,184",,5.0,"2,931",20.0,,,,,,0
SKINNY,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401995,390,77.3,"77,212,437","4,083","13,850,203",84.0,"7,658,766","246,884",472,"301,528","1,423,956","934,654",52.0,238,2,12.0,"1,198,375",32.0,"226,853",318,"1,687,131","39,163",,0
The Girl From Ipanema,Instrumental Bossa Nova,Stan Getz,6/6/2024,QZQAY2414774,391,77.2,,,,,,,,,,,,,,,,,,,,"1,772,770",,0
Te Felicito,Te Felicito,Shakira,4/21/2022,USQX92201764,392,77.0,"719,593,291","74,269","37,254,627",67.0,"719,244,041","4,424,400","826,261","159,735,614","2,594,106,000","455,293,047",98.0,"124,848",455,53.0,"3,243,848",69.0,"25,538,867","8,165",,"2,583,205",,0
Que Onda,Que Onda - Single,Calle 24,8/30/2023,USDXS2303230,393,76.9,"642,548,537","36,781","21,579,429",81.0,"227,994,801","335,112","205,583","41,258,724","499,670,882","92,125,885",34.0,"1,124",45,23.0,"8,060,357",34.0,"20,174,633","7,393",,,,1
Stumblin' In,Stumblin' In,CYRIL,11/10/2023,NLZ542301810,394,76.9,"180,784,576","22,208","150,873,146",83.0,"29,260,192","247,757","91,700","2,012,224","61,731,912","320,584,411",91.0,"111,796",,117.0,"31,191,745",55.0,"241,739",270,"1,595,230","4,657,449",,0
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,USUYG1543926,395,76.8,"311,928,522","1,668","4,447,700",23.0,,,,,,,118.0,"60,470",,,,6.0,,,,,,0
STAR WALKIN' (League of Legends Worlds Anthem),STAR WALKIN' (League of Legends Worlds Anthem) - Single,Lil Nas X,9/22/2022,USSM12208809,396,76.6,"428,164,381","80,340","18,339,674",68.0,"138,760,138","1,465,825","61,144","40,889,470","419,346,148","99,649,191",69.0,"469,798",534,41.0,"1,075,897",42.0,"35,931,504","11,075",,"5,323,336",,1
Desesperados,VICE VERSA,Rauw Alejandro,12/10/2021,USSD12100779,397,76.6,"1,021,480,638","119,558","50,631,491",78.0,"722,946,861","3,591,807","793,105","186,008,455","2,153,526,389","815,766,418",75.0,"55,181",92,42.0,"3,476,743",53.0,"61,269,232","6,584",,"2,591,948",,1
"Young Miko: Bzrp Music Sessions, Vol. 58","Young Miko: Bzrp Music Sessions, Vol. 58",Bizarrap,1/10/2024,UYB282401001,398,76.6,"224,033,701","20,266","25,455,662",,"138,348,246","2,036,793",,"1,407,028","22,394,778","1,429,170,590",23.0,"18,177",104,25.0,"12,600,216",39.0,"1,216,700",340,,"432,783",,0
Sugar,V (Deluxe),Maroon 5,8/29/2014,USUM71410340,399,76.6,"1,838,092,894","186,038","69,903,249",75.0,"4,151,880,976","16,983,201","234,084","29,492,228","406,531,709","1,795,021,430",197.0,"3,772",240,350.0,"1,067,956",54.0,"761,320,130","358,336",,"10,029,992",,1
I DONï¿½ï¿½ï¿½T WANNA DO THIS A,King of the Dead,Juliï¿½ï¿½n Kh,3/18/2024,QZLL92480334,454,76.5,"564,444,844",5,20,,,,,,,,,,,,,,,,,,,1
Igual Que Un ï¿½ï¿½ngel (with Peso Pl,ORQUï¿½ï¿½,Kali Uchis,1/12/2024,USUM72315072,400,76.3,"263,568,994","17,285","38,697,311",,"113,081,188","1,249,785",,"1,411,800","11,612,300","1,344,542,728",46.0,"22,110",6,58.0,"16,438,835",57.0,"2,451,926","3,216","965,916","1,017,370",,0
"Jhoome Jo Pathaan (From ""Pathaan"") [Arabic Version]","Jhoome Jo Pathaan (From ""Pathaan"") [Arabic Version] - Single",Abd El Fattah Grini,1/14/2023,INY092300003,402,76.2,"1,993,244",245,"79,264",28.0,"944,088,313","6,351,302",,,,"1,464,736",,368,,,,,,,,"28,908",,0
Old Town Road - Remix,Old Town Road,Lil Nas X,4/5/2019,USSM11902498,404,76.2,"1,527,106,099","186,252","34,012,219",68.0,"11,512",171,"4,203,166","55,379,491","478,304,071",,263.0,"109,745",6,65.0,"1,653,659",14.0,"114,089,318","855,810","60,525,149","12,855,943",,0
Let Me Love You,Encore,DJ Snake,8/5/2016,QMZSY1600015,403,76.2,"2,147,028,486","205,482","89,333,146",80.0,"2,457,588,032","18,290,642","4,116,973","49,564,235","528,988,791","1,945,612,445",239.0,"192,774",208,163.0,"1,417,821",97.0,"418,986,672","113,233",,"15,320,597",,0
Envolver,Envolver - Single,Anitta,11/11/2021,USWL12100576,401,76.2,"635,241,142","77,669","44,546,385",65.0,"836,072,339","4,909,216","2,101,465","699,278,513","9,427,647,770","1,434,107,266",102.0,"86,127",402,72.0,"1,135,788",86.0,"19,183,846","6,406",,"2,534,489",,0
Oublie-moi,Oublie-moi,Emkal,9/16/2022,FRDDV2200780,405,76.0,"17,992,999","11,288","327,900",42.0,"58,383,075","502,081","7,146,060","118,925,740","2,858,109,417","34,801,360",1.0,"1,309",,1.0,"8,606",1.0,,,,"1,860,955",,1
Malohat,Malohat,Xamdam Sobirov,4/20/2024,RUA1D2459522,406,75.9,"75,486",13,"3,242",,"95,889,492","442,331",,,,,1.0,,,,,,,,,"129,586",,0
MAESTRO,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',SEVENTEEN,4/29/2024,USA2P2415975,407,75.7,"35,244,286","1,629","14,912,783",75.0,"70,452,629","1,873,655",,"18,636,812","90,497,430","5,822,984",15.0,632,,5.0,"176,790",40.0,"93,561",118,,"85,957",,0
NUEVA VIDA,Gï¿½ï¿½N,Peso Pluma,6/22/2023,QM7282306253,408,75.6,"253,464,894","22,779","10,733,622",76.0,"191,499,043","634,671","1,755,500","61,572,969","708,437,568","534,279,807",6.0,115,,4.0,"1,599,559",10.0,"22,214,240","5,494",,"781,164",,1
you broke me first,you broke me first,Tate McRae,4/17/2020,USRC12000832,409,75.6,"1,439,465,700","169,076","47,204,234",77.0,"706,284,693","7,820,244","880,567","188,771,287","1,383,885,042","947,613,259",238.0,"395,572",776,65.0,"1,097,172",38.0,"175,068,272","92,428","20,648,981","5,808,069",,1
Relationship (feat. Future),Beautiful Thugger Girls,Young Thug,6/16/2017,USAT21701747,410,75.5,"458,957,128","89,812","13,215,590",61.0,"47,166,510","482,132","28,665,700","112,444,345","1,069,735,982","9,528,686",1.0,135,12,1.0,57,,,,,,,1
Beggin',Chosen,Mï¿½ï¿½ne,12/8/2017,ITB001700846,413,75.4,"1,601,293,263","358,760","75,186,063",79.0,"424,132,504","4,191,200","7,717,647","1,765,938,944","18,153,723,096","1,718,450,782",271.0,"478,458",784,168.0,"2,960,260",55.0,"63,838,488","75,382",,"14,404,336",,0
Faint,Papercuts,Linkin Park,4/12/2024,USWB12401896,412,75.4,"670,009,914",3,81,,,,,,,,,,,,,,,,,"1,847,397",,0
Pretty - Sped Up,Pretty,MEYY,6/7/2023,FRD9M2300690,411,75.4,"1,867,282",498,"521,031",40.0,"485,422","12,137","4,300,000","99,212,673","1,267,424,672",,,1,,,,1.0,"3,897",21,,"15,462",,0
Hawï¿½,Hawï¿½,Maluma,7/29/2020,USSD12000190,415,75.3,"1,289,186,767","123,303","48,973,048",73.0,"1,464,055,196","7,754,280","729,784","9,309,533","131,926,571","371,508,169",201.0,"80,055",98,86.0,"5,370,315",99.0,"105,490,212","45,106",,"2,387,272",,0
LA FALDA,LA FALDA - Single,Myke Towers,11/22/2023,USWL12302952,416,75.3,"367,399,860","29,235","106,808,249",82.0,"104,584,293","726,526",,"1,146","14,800","1,109,634,551",57.0,"42,471",593,54.0,"6,789,731",30.0,"2,176,876","1,851","1,095,337","1,040,348",,1
act ii: date @ 8,act ii: date @ 8,4batz,12/7/2023,QZS7J2359132,414,75.3,"153,364,964","29,300","15,208,678",,"32,239,845","576,013","534,000","88,331,091","749,015,170","34,306,328",33.0,"48,625",994,7.0,"935,612",1.0,"884,939","1,670",,"1,458,037",,1
Cradles,Cradles,Sub Urban,1/4/2019,GB2LD1800949,418,75.2,"737,097,685","155,765","20,317,539",68.0,"1,098,942,075","19,179,674","6,010,728","735,932,695","8,841,517,566","56,344,836",19.0,"23,497",,14.0,"41,677",7.0,"77,491,669","121,008","42,287,751","11,014,789",,0
Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN,5/4/2019,RUB421901499,417,75.2,"1,927,961,994","323,997","86,092,004",72.0,"320,969,468","3,572,454","399,114","47,716,560","525,749,281","319,370,580",387.0,"368,034",,285.0,"2,691,423",51.0,"273,518,696","155,662",,"28,977,015",,1
Angel Numbers / Ten Toes,11:11,Chris Brown,11/10/2023,USRC12302900,419,75.1,"179,565,178","40,225","15,526,253",75.0,"41,976,731","479,163","273,400","36,593,416","451,763,725","514,925,755",54.0,"5,615",,25.0,"454,601",9.0,"3,470,078","3,794","4,120,249","2,788,317",,1
Never Lose Me,Never Lose Me - Single,Flo Milli,11/30/2023,USRC12303379,420,75.1,"278,132,516","23,580","70,573,006",,"11,587,186","210,504","1,200,000","201,891,712","1,434,396,157","381,728",39.0,59,"1,491",46.0,"1,639,978",12.0,"3,317,074","2,619",,"1,075,138",,1
Reggaeton Champagne,Kittyponeo,Bellakath,10/5/2023,BK4DA2319233,421,75.1,"224,429,894","17,159","11,316,048",,"250,897,173","2,121,068","545,900","64,561,650","456,323,777","911,150,246",8.0,"1,966",499,13.0,"597,691",28.0,"708,120","3,499",,"921,762",,1
MASHA ULTRAFUNK,MASHA ULTRAFUNK,HISTED,3/8/2024,QZES82406061,422,74.9,"32,435,333","2,141","18,509,359",76.0,"57,665,106","1,285,063","550,000","83,742,600","1,059,880,600","5,353,152",1.0,,,,,8.0,"28,942",53,,"264,296",,0
Under The Influence,Indigo (Extended),Chris Brown,10/4/2019,USRC11902743,423,74.9,"1,249,760,413","202,465","56,664,631",79.0,"699,931,779","6,139,127","1,107,358","252,070,540","2,436,202,278","257,447,653",186.0,"456,661","1,057",60.0,"1,734,864",39.0,"101,759,650","81,211","17,909,859","12,188,959",,1
Life Goes On,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Oliver Tree,7/17/2020,USAT22007153,424,74.8,"568,230,113","142,225","16,247,309",68.0,"531,872,316","9,887,683","8,041,280","1,122,403,923","11,938,256,726","2,159,219,012",46.0,"48,336",774,19.0,"356,456",16.0,"13,530,275","21,169",,"4,910,428",,0
Si Una Vez (Remasterizado 2024/30th Anniversary),Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,USUM72402913,425,74.7,"212,272,036",13,"76,963",,,,,,,,1.0,,,1.0,"19,628",3.0,"110,583,041","29,082",,,,0
BATTER UP,BABYMONSTER Debut Digital Single [BATTER UP],BABYMONSTER,11/27/2023,KRA402300048,426,74.5,"121,497,542","6,748","14,377,499",80.0,"307,571,207","3,994,160",,"16,093,695","136,260,517","2,556,572,213",12.0,"1,559",8,3.0,"212,538",,"172,783",439,,"252,875",,0
SI NO ES CONTIGO,SI NO ES CONTIGO,Cris Mj,5/23/2024,QM6N22466972,427,74.5,"45,287,928","2,099","98,932,469",81.0,"17,850,177","358,428",,,,"145,759,995",21.0,5,,9.0,"2,032,136",9.0,"181,048",89,"468,013","268,642",,1
Trance (with Travis Scott & Young Thug),HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208787,429,74.4,"637,325,281","142,076","31,958,929",79.0,"25,776,208","246,133","12,122","7,811,781","58,477,615","145,379",35.0,2,,9.0,"948,806",10.0,"2,184,964","4,214","16,505,933","3,359,877",,1
Rock and A Hard Place,Rock and A Hard Place,Bailey Zimmerman,6/10/2022,USWB12201797,430,74.4,"412,845,771","59,749","11,166,198",73.0,"215,094,924","1,522,549","203,904","80,427,947","777,869,891","506,206,031",37.0,"325,922",84,4.0,"2,647",16.0,"260,646,662","39,816","10,255,088","1,315,179",,0
obsessed,GUTS (spilled),Olivia Rodrigo,3/22/2024,USUG12305564,428,74.4,"129,968,407","6,621","69,045,774",,"16,165,402","604,952",,,,"156,978,440",48.0,"75,882",164,35.0,"10,634,673",70.0,"1,952,449","3,850","346,179",,,1
Eyes Closed,Eyes Closed,Imagine Dragons,4/3/2024,USUM72402448,431,74.2,"51,224,852","5,159","33,795,310",,"30,060,301","670,497",,,,"209,984,783",43.0,"47,932",23,41.0,"18,000,216",82.0,"8,536,936","1,263",,"576,192",,0
Wanna Be,Wanna Be (Alternate Versions),GloRilla,4/3/2024,USUM72403374,433,74.1,"66,836,198","4,228","57,383,746",77.0,"43,174,948","552,134",,,,"130,569,102",37.0,"6,174",249,5.0,"1,421,437",22.0,"16,660,021","5,363","2,437,483","269,767",,1
Don't Let Me Down,Pop Party,The Chainsmokers,1/1/2016,USQX91600011,432,74.1,"1,888,829,482","206,507","80,884,955",76.0,"2,813,990,127","18,577,555","1,564,955","439,675,389","6,097,870,496","366,325,473",4.0,"126,648",72,101.0,"784,557",55.0,"768,352,230","344,561",,,,0
DDU-DU DDU-DU,SQUARE UP,BLACKPINK,6/15/2018,KRA401800096,434,74.0,"701,726,499","51,129","14,859,569",65.0,"3,435,321,800","41,630,558","798,667","73,741,892","683,794,564","265,722,945",55.0,"3,420",26,13.0,"200,165",17.0,"13,315,881","51,227",,"1,916,314",,0
telepatï¿½,Sin Miedo (del Amor y Otros Demonios) ï¿½,Kali Uchis,11/18/2020,GBUM72005748,435,73.9,"1,151,629,030","201,783","55,679,157",77.0,"456,651,608","6,111,089","1,448,920","467,181,048","3,401,301,248","244,384,379",164.0,"173,512","1,303",63.0,"488,896",60.0,"53,202,036","41,954","18,082,840","6,239,619",,0
Wake Me Up,TRUE,Avicii,1/1/2013,SEUM71301326,436,73.7,"2,325,017,580","347,004","112,575,684",81.0,"3,214,634,614","17,924,466","349,966","33,433,988","360,378,218","351,953,763",302.0,"358,498",230,213.0,"1,715,157",87.0,"311,299,334","837,891",,"28,653,448",,0
Overdrive (feat. Norma Jean Martine),Overdrive (feat. Norma Jean Martine),Ofenbach,10/6/2023,FR9W12347222,437,73.6,"232,417,498","20,983","96,389,865",80.0,"59,799,293","367,721","38,115","1,152,032","61,820,477","1,975,097,262",60.0,"191,891",77,83.0,"27,260,772",40.0,"3,871",26,,"3,273,690",,0
Chulo pt.2,Chulopt2,Bad Gyal,6/22/2023,USUM72305143,438,73.6,"318,567,928","42,351","29,908,589",69.0,"313,180,496","1,792,729","263,600","102,425,830","797,526,303","511,333,068",43.0,"16,430",17,28.0,"608,263",45.0,"2,065,718","1,938","937,320","857,885",,1
All Girls Are The Same,All Girls Are The Same,Juice WRLD,4/13/2018,USUG11800651,439,73.5,"1,615,353,665","219,797","40,289,611",76.0,"130,721,152","1,378,012","329,183","40,216,565","294,545,167",32,37.0,610,31,25.0,"136,348",2.0,"95,930,512","146,577","229,990,892","3,146,346",,1
Push Up - Main Edit,Push Up - Single,Creeds,3/31/2023,DEE862300564,441,73.4,"274,229,438","81,319","88,956,153",77.0,"22,545,691","353,908","2,001,804","84,624,881","1,182,280,724",,31.0,"7,748",33,66.0,"1,432,651",26.0,"471,372",925,"2,972,813","986,887",,0
Kings & Queens,Kings & Queens,Ava Max,3/12/2020,USAT21906943,440,73.4,"955,439,608","130,031","24,897,061",73.0,"627,987,518","6,208,902","2,483,437","192,674,077","2,036,664,297","2,083,362,305",175.0,"668,145","1,183",123.0,"2,128,228",40.0,"154,195,791","77,421",,"8,517,243",,0
Adore You,Adore You,Harry Styles,12/6/2019,USSM11912588,442,73.2,"1,670,164,200","171,120","93,127,826",78.0,"721,445,001","8,290,855","381,926","125,662,413","805,399,161","1,840,306,341",254.0,"811,625",408,131.0,"1,195,898",59.0,"137,719,148","80,750",,"6,307,292",,0
HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,10/4/2019,USSM11904276,443,73.2,"1,625,149,693","304,394","58,905,241",78.0,"925,241,514","9,308,268","164,816","74,049,746","713,021,988","179,905,608",211.0,"83,260",192,67.0,"491,690",58.0,"184,172,216","79,322",,"4,613,459",,1
UNAVAILABLE (feat. Musa Keys),Timeless,Davido,3/30/2023,GBARL2300322,444,73.2,"155,390,490","51,032","16,505,336",68.0,"135,400,007","1,021,624","1,871,311","80,258,156","1,043,240,094","42,080,992",99.0,"40,272",339,33.0,"903,393",60.0,"4,099,754","1,865","3,549,319","2,290,047",,1
Million Dollar Baby (Vhs),Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402634,445,73.1,"48,720,820","5,049","856,394",2.0,,,,,,,62.0,"10,894",,,,17.0,,,"4,566,889",,,0
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",Taki Taki,DJ Snake,9/28/2018,USUG11802029,446,73.0,"1,570,233,605","37,830","10,568,342",65.0,"2,737,562,687","21,758,603",,"2,454,022","40,964,161","706,226,678",215.0,"30,855",,82.0,"1,470,481",3.0,"219,869,090","228,956",,"8,754,118",,1
"Chaleya (From ""Jawan"")","Chaleya (From ""Jawan"")",Anirudh Ravichander,8/14/2023,INS182302348,447,73.0,"334,578,317","18,958","16,311,735",70.0,"396,928,355","3,264,045",,,,"936,001,433",29.0,"1,613",,,,24.0,,,,"411,911",,0
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,11/20/2022,QZNMY2232113,448,73.0,"419,016,792","24,878","16,888,060",42.0,"299,024,405","6,706,233","3,400,000","417,635,777","5,766,443,841","130,833,442",13.0,"15,581",42,5.0,"48,194",16.0,"1,971,463",929,,"1,878,044",,0
ADIVINO,ADIVINO - Single,Myke Towers,4/25/2024,USWL12401327,449,72.9,"118,631,919","11,425","115,304,111",84.0,"6,595,595","105,964",,,,"5,565,254",75.0,"3,903",11,39.0,"3,931,309",37.0,"1,787,057",310,,"407,768",,1
THE BOX MEDLEY FUNK 2,THE BOX MEDLEY FUNK 2,THE BOX,4/18/2024,BKF5C2400003,450,72.8,"51,390,127","3,010","33,303,786",78.0,"72,074,397","726,118",,,,,18.0,,,31.0,"9,657,358",22.0,,,,"174,720",,0
Cruel Summer,Lover,Taylor Swift,8/23/2019,USUG11901472,451,72.8,"2,188,247,133","121,479","201,964,859",88.0,"342,388,433","2,291,619","3,233,521","465,904,062","4,967,025,679","822,448,758",273.0,"913,464","1,264",122.0,"21,554,174",117.0,"60,954,563","84,157","2,171,676","3,476,323",,0
No Me Queda Mï¿½ï¿½s (Remasterizado 2024/30th Annivers,Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,USUM72402906,452,72.7,"171,242,868",15,"78,253",,,,,,,,2.0,4,,1.0,"19,628",3.0,"109,170,088","29,055",,,,0
Breathe,2093,Yeat,2/16/2024,USUM72401623,453,72.7,"131,100,973","16,735","42,444,393",,"4,756,180","146,148",,,,"1,563,442",10.0,"1,403",107,14.0,"903,632",22.0,"359,758","1,958","9,930,686","307,226",,1
Unforgettable,EPIC AF,French Montana,1/1/2017,USSM11703478,454,72.6,"2,065,697,126","275,044","91,691,537",82.0,"2,173,793,028","11,604,315","133,949","68,712,610","631,867,114","402,513,671",191.0,"105,138",267,114.0,"739,260",45.0,"505,767,047","265,307",,,,1
EASY,EASY,LE SSERAFIM,2/19/2024,USA2P2402101,455,72.4,"141,803,939","7,192","20,908,017",78.0,"139,498,636","1,771,124",,"12,990,521","80,625,682","1,978,716,840",20.0,"2,733",46,4.0,"169,894",18.0,"306,385",286,"537,003","190,784",,0
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Peso Pluma: Bzrp Music Sessions, Vol. 55 - Single",Bizarrap,5/31/2023,UYB282301034,456,72.2,"434,019,386","47,202","14,298,402",70.0,"350,630,590","4,153,653",,,,"1,145,717,172",48.0,"7,265",122,7.0,"79,313",33.0,"19,034,872","5,506",,"647,350",,1
Faded,Faded,Benjamin Richter,7/28/2017,DEE861701287,458,72.0,"120,162",24,"5,642",,"4,542,997,940","34,925,612",43,"3,192","38,402","586,824,929",,,,,,,,,,"2,569",,0
Lose My Breath (Feat. Charlie Puth),Lose My Breath,Stray Kids,5/10/2024,US5TA2400074,457,72.0,"29,994,527","1,665","25,533,535",57.0,"39,678,645","1,520,092","38,704","1,533,045","5,347,400","35,590,514",12.0,"1,664",12,7.0,"477,416",45.0,"277,540",314,"119,216","69,265",,0
ýýýýýýýýýý ýýýýýýýýýýýý,ýýýýýýýýýý ýýýýýýýýýýýý,ALEX&RUS,7/3/2019,QM6N21999015,460,71.9,"52,830,200","14,893","1,344,212",41.0,"263,688,786","1,760,965","19,100,000","295,333,807","5,821,447,553",,2.0,430,,,,,,,,"3,415,809",,0
Move,Move - Single,Adam Port,6/7/2024,DEEC33501508,459,71.9,"5,917,083","1,348","19,711,644",67.0,"1,541,922","39,879","21,800","4,700,915","53,279,473",,45.0,12,3,14.0,"669,637",22.0,"28,895",16,,"196,937",,0
F.N,F.N,Lil Tjay,8/9/2019,USSM11904899,461,71.7,"731,933,924","186,835","18,420,557",70.0,"534,384,489","4,951,977","393,517","18,913,500","173,278,256","7,568,168",40.0,"1,919",51,12.0,"37,259",2.0,"39,513,101","67,866","139,571,395","1,966,253",,1
Say You Won't Let Go,Say You Won't Let Go,James Arthur,9/9/2016,DEE861600586,462,71.5,"2,830,962,669","233,504","128,647,419",82.0,"2,083,619,058","11,898,213","1,750,319","96,711,415","792,720,612","1,446,089,800",218.0,"122,867",68,114.0,"616,176",52.0,"662,857,879","312,119",,"5,869",,0
Blank Space,1989 (Deluxe),Taylor Swift,1/1/2014,USCJY1431309,463,71.5,"1,829,733,410","157,465","49,558,504",76.0,"3,624,778,617","16,916,871","104,685","38,075,232","346,032,878","1,811,140,554",154.0,"41,483",123,107.0,"566,690",28.0,"730,704,780","855,164","749,243","12,259,073",,0
Girls Like You,Red Pill Blues (Deluxe),Maroon 5,11/3/2017,USUM71710831,464,71.4,"399,689,964","43,481","8,855,966",63.0,"3,623,407,739","21,725,999",597,"589,841","6,559,308","2,200,700,275",8.0,"37,551",,6.0,"167,434",6.0,"95,808,186","28,398","1,318,952","5,910,625",,1
HUMBLE.,HUMBLE.,Kendrick Lamar,3/31/2017,USUM71703085,466,71.4,"2,226,869,580","311,766","77,191,099",80.0,"1,281,355,260","11,551,257","1,180,701","90,304,316","769,720,113","209,307,607",357.0,"84,979",692,111.0,"657,065",94.0,"562,540,114","476,433",,"7,692,756",,1
Forget Me,Forget Me,Lewis Capaldi,9/9/2022,DEUM72204717,465,71.4,"343,556,188","53,783","14,916,823",69.0,"78,559,130","611,379","30,806","18,533,179","268,283,723","350,881,548",76.0,"641,638",220,25.0,"1,291,476",39.0,"36,438,448","3,704",,"3,723,951",,0
Sabka Malik Ek,Sabka Malik Ek,Dada Black Sheep,8/12/2022,FR9W12228852,467,71.3,"2,754",22,441,,"1,197,426,502",,,,,,,50,,,,,,,,,,0
